tp_codigo,codigo,nome_ciap,fonte,versao_fonte,status_fonte,data_fonte
CIAP,A01,Dor generalizada /múltipla,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A02,Arrepios/ calafrios,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A03,Febre,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A04,Debilidade/cansaço geral/fadiga,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A05,Sentir-se doente,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A06,Desmaio/síncope,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A07,Coma,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A08,Inchaço,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A09,Problemas de sudorese,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A10,Sangramento/Hemorragia NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A11,Dores torácicas NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A13,Receio/Medo do tratamento,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A16,Criança irritável,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A18,Preocupação com aparência,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A20,Pedido/discussão eutanásia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A21,Fator de risco de malignidade,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A23,Fator de risco NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A25,Medo de morrer/medo da morte,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A26,Medo de câncer NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A27,Medo de outra doença NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A28,Limitação funcional/incapacidade NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A29,Outros sinais/sintomas gerais,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A70,Tuberculose,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A71,Sarampo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A72,Varicela,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A73,Malária,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A74,Rubéola,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A75,Mononucleose infecciosa,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A76,Outro exantema viral,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A77,Dengue e outras doenças virais NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A78,Hanseníase e outras doenças infecciosas NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A79,Carcinomatose (localização primária desconhecida),http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A80,Lesão traumática/acidente NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A81,Politraumatismos/ferimentos múltiplos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A82,Efeito secundário de lesão traumática,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A84,Intoxicação por medicamento,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A85,Efeito adverso de fármaco dose correta,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A86,Efeito tóxico de substância não medicinal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A87,Complicações de tratamento médico,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A88,Efeito adverso de fator físico,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A89,Efeito da prótese,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A90,Malformação congênita NE/múltiplas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A91,Investigação com resultado anormal NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A92,Alergia/reação alérgica NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A93,Recém nascido prematuro,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A94,"Morbidade perinatal, outra",http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A95,Mortalidade perinatal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A96,Morte,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A97,Sem doença,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A98,Medicina preventiva/manutenção da saúde,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,A99,Outras doenças gerais NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B02,Gânglio linfático aumentado/doloroso,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B04,Sinais/sintomas sangue,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B25,Medo de VIH/ HIV/SIDA/ AIDS,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B26,Medo de câncer no sangue/linfático,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B27,Medo de outras doenças do sangue /vasos linfáticos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B28,Limitação funcional/incapacidade,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B29,Outros sinais/ sintomas do sangue/ sistema linfático/ baço NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B70,Linfadenite aguda,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B71,Linfadenite crónica NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B72,Doença de Hodgkin/linfomas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B73,Leucemia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B74,Outra neoplasia maligna no sangue,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B75,Neoplasia benigna NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B76,Rotura traumática do baço,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B77,Outras lesões traumáticas do sangue/linfa/baço,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B78,Anemia hemolítica hereditária,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B79,Outra malformação congênita do sangue/linfática,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B80,Anemia por deficiência de ferro,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B81,Anemia perniciosa/deficiência de folatos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B82,Outras anemias NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B83,Púrpura/defeitos de coagulação,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B84,Glóbulos brancos anormais,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B87,Esplenomegalia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B90,Infecção por VIH/ HIV/SIDA/ AIDS,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,B99,Outra doença do sangue/linfáticos/baço,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D01,Dor abdominal generalizada/cólicas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D02,"Dores abdominais, epigástricas",http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D03,Azia/ Queimação,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D04,Dor anal/retal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D05,Irritação perianal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D06,Outras dores abdominais localizadas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D07,Dispepsia/indigestão,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D08,Flatulência /gases/eructações,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D09,Náusea,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D10,Vomito,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D11,Diarreia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D12,Obstipação,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D13,Icterícia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D14,Hematêmese/vómito sangue,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D15,Melena,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D16,Hemorragia retal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D17,Incontinência fecal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D18,Alterações nas fezes/mov. intestinais,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D19,Sinais/sintomas dos dentes/gengivas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D20,Sinais/sintomas da boca/língua/lábios,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D21,Problemas de deglutição,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D23,Hepatomegalia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D24,Massa abdominal NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D25,Distensão abdominal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D26,Medo de câncer no aparelho digestivo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D27,Medo de outras doenças aparelho digestivo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D28,Limitação funcional/incapacidade,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D29,Outros sinais/sintomas digestivos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D70,Infecção gastrointestinal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D71,Caxumba/parotidite epidêmica,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D72,Hepatite viral,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D73,"Gastroenterite, presumível infecção",http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D74,Neoplasia maligna do estômago,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D75,Neoplasia maligna do cólon/reto,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D76,Neoplasia maligna do pâncreas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D77,Neoplasia maligna do aparelho digestivo NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D78,Neoplasia benigna do aparelho digestivo/incerta,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D79,Corpo estranho no aparelho digestivo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D80,Outras lesões traumáticas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D81,Malformações congênitas do aparelho digestivo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D82,Doença dos dentes/gengivas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D83,Doença da boca/língua/lábios,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D84,Doença do esôfago,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D85,Úlcera do duodeno,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D86,"Úlcera péptica, outra",http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
